Industry_code_NZSIOC,Value
99999,572047
99999,501943
99999,53557
99999,16547
99999,506072
99999,35826
99999,6016
99999,16525
99999,83274
99999,285
99999,1597
99999,353617
99999,9217
99999,50922
99999,52935
99999,67989
99999,1698089
99999,504050
99999,379697
99999,814340
99999,1698089
99999,530672
99999,651674
99999,515742
99999,353500
99999,42000
99999,77
99999,69
99999,13
99999,4
99999,31
AA111,3441
AA111,3284
AA111,45
AA111,112
AA111,2954
AA111,191
AA111,32
AA111,159
AA111,574
AA111,0
AA111,1976
AA111,22
AA111,275
AA111,302
AA111,513
AA111,9893
AA111,1848
AA111,6759
AA111,1287
AA111,9893
AA111,4029
AA111,2606
AA111,3258
AA111,145900
AA111,21800
AA111,71
AA111,59
AA111,13
AA111,5
AA111,41
AA11,3441
AA11,3284
AA11,45
AA11,112
AA11,2954
AA11,191
AA11,32
AA11,159
AA11,574
AA11,0
AA11,1976
AA11,22
AA11,275
AA11,302
AA11,513
AA11,9893
AA11,1848
AA11,6759
AA11,1287
AA11,9893
AA11,4029
AA11,2606
AA11,3258
AA11,145900
AA11,21800
AA11,71
AA11,59
AA11,13
AA11,5
AA11,41
AA121,9720
AA121,8972
AA121,C
AA121,C
AA121,8213
AA121,640
AA121,163
AA121,436
AA121,838
AA121,0
AA121,6074
AA121,63
AA121,4906
AA121,4981
AA121,1581
AA121,46822
AA121,9286
AA121,29509
AA121,8028
AA121,46822
AA121,27295
AA121,7182
AA121,12346
AA121,470700
AA121,76600
AA121,129
AA121,60
AA121,6
AA121,3
AA121,58
AA12,9720
AA12,8972
AA12,C
AA12,C
AA12,8213
AA12,640
AA12,163
AA12,436
AA12,838
AA12,0
AA12,6074
AA12,63
AA12,4906
AA12,4981
AA12,1581
AA12,46822
AA12,9286
AA12,29509
AA12,8028
AA12,46822
AA12,27295
AA12,7182
AA12,12346
AA12,470700
AA12,76600
AA12,129
AA12,60
AA12,6
AA12,3
AA12,58
AA131,14879
AA131,14395
AA131,153
AA131,331
AA131,11959
AA131,1574
AA131,152
AA131,592
AA131,1412
AA131,0
